Domain,Vertical,AF Lev.1,AF Lev.2,Rephrased Function Name,Function ID,UID
Market & Sales Domain,Operations Readiness & Support,Sales and Sales Force Management,Sales Territory Management,Sales Territory Assignment,1282,2073
Market & Sales Domain,Strategy Management,Market Strategy Management,Market Sales and Channel Development,Points of Sales Management,386,2075
Market & Sales Domain,Business Value Development,Advertising Management,Advertisement Management,Advertisement Monitoring,1318,2105
Market & Sales Domain,Business Value Development,Advertising Management,Advertisement Management,Advertisement Information Management,1319,2106
Market & Sales Domain,Business Value Development,Advertising Management,Advertisement Management,Advertisement Performance Analysis,1320,2107
Market & Sales Domain,Operations Readiness & Support,Sales Commissioning Management,Sales Account Management,Sales Account Assigning,390,2111
Market & Sales Domain,Business Value Development,Marketing Campaign Development,Marketing Campaign Workflow Design,Campaign Workflow Approving,349,2567
Market & Sales Domain,Operations Readiness & Support,Marketing Campaign Management,Marketing Campaign Execution,Campaign to Customer Profile Alignment,350,2570
Market & Sales Domain,Operations Readiness & Support,Marketing Campaign Management,Marketing Campaign Performance Tracking and Analysis,Campaign In Execution Updating,353,2573
Market & Sales Domain,Strategy Management,Marketing Strategic Analysis,Market and Channel Analysis,Market and Channel Data Analysis,1091,2576
Market & Sales Domain,Business Value Development,Advertising Management,Advertisement Management,Advertisement Placement,1315,2578
Market & Sales Domain,Fulfillment,Sales Management,Sales Lead Management,Funnel Assigning,375,2579
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Sales Product Support,395,2593
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Product Customization Offering Management,379,2597
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Solution Design Creation,928,2600
Market & Sales Domain,Strategy Management,Market Strategy Management,Market and Channel Strategy Definition,Market Sales Segmentation Definition,1101,2607
Market & Sales Domain,Assurance,Sales Performance Management,Market and Channel Performance Tracking,Market and Channel Measurement,1098,2610
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Automatic Solution Validation,930,2614
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Solution Pricing,931,2615
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Calculation Rules Retrieval,932,2616
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Sales Job Quick Reference Guiding,393,3050
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Price Optimization,933,3250
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Sales Negotiation Support,934,3252
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Solution Requirements Capturing,935,3253
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Sales Quote Management,1063,3254
Market & Sales Domain,Fulfillment,Sales Management,Framework Agreement Management,Customer Framework Agreement Approval,1180,3404
Market & Sales Domain,Operations Readiness & Support,Sales and Sales Force Management,Sales Force Management,Sales Force Objectives follow-up,1278,3422
Market & Sales Domain,Strategy Management,Market Strategy Management,Marketing Campaign Plan Definition,Market Strategy Plan Design,1093,3428
Market & Sales Domain,Strategy Management,Market Strategy Management,Marketing Campaign Plan Definition,Market and Channel Forecasts Identification,1092,3431
Market & Sales Domain,Strategy Management,Market Strategy Management,Marketing Campaign Plan Definition,Marketing Campaign Roadmap Definition,1094,3432
Market & Sales Domain,Strategy Management,Marketing Strategic Analysis,Marketing Campaign Analysis,Marketing Information Sharing,354,3435
Market & Sales Domain,Business Value Development,Marketing Campaign Development,Marketing Campaign Design,Marketing Message Definition,1096,3440
Market & Sales Domain,Business Value Development,Marketing Campaign Development,Marketing Campaign Design,Campaign Preparation,347,3443
Market & Sales Domain,Operations Readiness & Support,Sales and Sales Force Management,Sales Force Management,Sales Force Objectives Definition,1279,3722
Market & Sales Domain,Strategy Management,Market Strategy Management,Market Sales and Channel Development,Direct Sales Force Management,373,3724
Market & Sales Domain,Strategy Management,Market Strategy Management,Market and Channel Strategy Definition,Market and Channel Sales Forecasts Determination,1100,3726
Market & Sales Domain,Strategy Management,Marketing Strategic Analysis,Marketing Campaign Analysis,Marketing Insight Campaign Reporting,355,3727
Market & Sales Domain,Strategy Management,Marketing Strategic Analysis,Marketing Campaign Analysis,Marketing Campaign Product Tracking,410,3728
Market & Sales Domain,Business Value Development,Marketing Campaign Development,Marketing Campaign Design,Campaign Template Creation,348,3729
Market & Sales Domain,Business Value Development,Marketing Campaign Development,Marketing Campaign Design,Campaign Creation,346,3730
Market & Sales Domain,Business Value Development,Advertising Management,Advertisement Management,Advertisement Design,1316,3732
Market & Sales Domain,Business Value Development,Advertising Management,Advertisement Management,Advertisement Delivery,1317,3733
Market & Sales Domain,Operations Readiness & Support,Sales Commissioning Management,Sales Account Management,Sales Account Planning,391,3734
Market & Sales Domain,Operations Readiness & Support,Sales Commissioning Management,Sales Account Management,Telesales Tools Support,397,3735
Market & Sales Domain,Operations Readiness & Support,Sales Commissioning Management,Sales Commission Repository Management,Sales Commission Reporting,358,3736
Market & Sales Domain,Fulfillment,Sales Management,Sales Lead Management,Funnel Leads Tracking,376,3737
Market & Sales Domain,Fulfillment,Sales Management,Sales Lead Management,Sales Lead Capturing,726,3738
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Sales Aids Support,394,3739
Market & Sales Domain,Assurance,Sales Performance Management,Sales Reporting,Sales Order Reporting,388,3741
Market & Sales Domain,Operations Readiness & Support,Sales and Sales Force Management,Sales Force Management,Sales Force Forecast Definition,1277,3899
