SpecSync Requirement ID,SpecSync Function,Application Function,Object Type,Object Title,Object Level,Workspace,Status,Description,Relationship Type,Relationship Path,Enhanced Fields Count,Ameff_properties_Function_Description_Link,Ameff_properties_Interface_Description_Link,Ameff_properties_Service_Description_Link,Ameff_properties_TMF_Function_ID
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Function","Offer and Product Configuration","Root","Grant Test","Accepted","","N/A","N/A","42","","","","207"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Business Process","[Retail Store] Configure the Selected Product Offering","","Grant Test","Accepted","","N/A","N/A","45","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Business Process","[Retail Store] Select a Product Offering for Purchase","","Grant Test","Accepted","","N/A","N/A","45","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Business Process","[Retail Store] New Customer Purchases a Mobile Product","","Grant Test","Accepted","","N/A","N/A","45","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Business Process","[Retail Store] Browse the Product Catalog","","Grant Test","Accepted","","N/A","N/A","45","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Business Process","[Retail Store] Create New Individual Party","","Grant Test","Accepted","","N/A","N/A","45","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Business Process","[Retail Store] Create New Customer","","Grant Test","Accepted","","N/A","N/A","45","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Configure Product","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Regulatory Enforcement Solution] Check Customer Regulatory Eligibility","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","Configure Product","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[POS] Configure Product","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] EXP-07-01 Create New Contact","","Grant Test","Accepted","","N/A","N/A","43","","","https://confluence.csgicorp.com/spaces/EncompProdDelv/pages/1843478459/EXP-07-01+Create+New+Contact",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] HLP-02 Retrieve Contact Details","","Grant Test","Accepted","","N/A","N/A","43","","","https://confluence.csgicorp.com/spaces/EncompProdDelv/pages/1843473657/HLP-02+Retrieve+Contact+Details",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","Create New Individual","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Customer Information Searching (122)","","Grant Test","Accepted","","N/A","N/A","43","","","",""
